tag,published_at,type
v0.12.0a1,2025-08-01T12:30:10Z,minor
v0.11.3,2025-05-01T14:12:05Z,patch
v0.11.2,2024-12-16T22:32:41Z,patch
v0.11.1,2024-10-17T08:19:52Z,patch
v0.11.0,2024-09-27T16:52:43Z,minor
v0.10.0,2024-05-07T03:58:11Z,minor
v0.9.2,2024-01-30T08:44:06Z,patch
v0.9.1,2024-01-29T09:05:56Z,patch
v0.9.0,2023-10-17T08:55:43Z,minor
v0.8.4,2023-06-06T09:09:01Z,patch
v0.8.3,2023-03-17T11:20:17Z,patch
v0.8.2,2022-11-24T15:14:08Z,patch
v0.8.1,2022-08-28T03:46:37Z,patch
v0.8.0,2022-05-09T22:03:14Z,minor
v0.7.3,2021-07-26T16:25:50Z,patch
v0.7.2,2021-05-23T04:35:42Z,patch
v0.7.1,2021-03-04T17:35:32Z,patch
v0.7.0,2020-12-16T22:59:26Z,minor
v0.6.0,2020-06-02T01:53:24Z,minor
v0.5.2,2020-02-03T14:57:20Z,patch
v0.5.1,2020-05-27T20:46:45Z,patch
v0.5.0,2019-10-17T15:40:13Z,minor
v0.4.0,2019-02-04T13:30:58Z,minor
v0.3.0,2019-01-07T15:04:32Z,minor
v0.0.4,2018-06-03T11:28:26Z,patch
